model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
KNORAU,100.0,0.9124128626574947,0.02581889227629755,0.8415109842587787,0.8978031482442483,0.9149606188085537,0.9302893484542449,0.9722532872441372,100.0,0.8499825991154875,0.048749962161694374,0.7123268153776438,0.8221093896145435,0.848994470664529,0.8841933183891733,0.9473057894470904,100.0,0.5386387270400109,0.11399681862395106,0.273015873015873,0.458642786723628,0.5367238562091503,0.606569102112676,0.7884615384615384
KNeighborsClassifier,100.0,0.9210049024992404,0.02652828963057612,0.8435466653111021,0.9040520464523214,0.9253285802047192,0.9369408296055307,0.9783169001902784,100.0,0.8733119910741416,0.043730200670644245,0.6630071141733764,0.8502127728614254,0.881100495541487,0.8985702728883622,0.9517906734349836,100.0,0.8867188522879295,0.0334087282522912,0.7906976744186046,0.8635167464114832,0.896551724137931,0.9111111111111112,0.9574468085106383
Logarithmic,100.0,0.9157913872529373,0.026767441995303738,0.839409271752292,0.9028319763266508,0.9154466585332792,0.9345714759682033,0.976283387988544,100.0,0.7887099892745921,0.06804227313478951,0.614482032201718,0.740282110020436,0.7991962837645865,0.8384433610892382,0.9105542425219988,100.0,0.8335503772193388,0.04147367898825798,0.7070707070707071,0.8113207547169812,0.8342490842490843,0.8631578947368421,0.9263157894736842
LogitBoostClassifier,100.0,0.908854314353389,0.02973495995986129,0.8191489361702128,0.8936170212765957,0.9144869476434808,0.9257672684868726,0.9777067308108296,100.0,0.8669378908015601,0.04552345777726926,0.7106041671739857,0.8392811201281559,0.8700648289293618,0.9006883158154516,0.9546245127135996,100.0,0.8829023405284342,0.03860206816480416,0.775,0.8666666666666667,0.8876262626262625,0.9090909090909092,0.945054945054945
METADES,100.0,0.8938858004450642,0.03432104631644536,0.7677910396125238,0.8759965517825674,0.897119272018551,0.9177892897594235,0.961987545407369,100.0,0.5485046402446175,0.13329722516670245,0.2337331131589573,0.4607876884201922,0.5466778546020388,0.6490095722448734,0.8595291628444747,100.0,0.537353228523938,0.13262663416576534,0.2317880794701986,0.44128545872731917,0.5332523199292973,0.6165726817042606,0.8333333333333334
MLA,100.0,0.8751678801018595,0.04049516700461474,0.7641274346084292,0.8478505417844169,0.872238758187466,0.9070387050666741,0.9560234656883528,100.0,0.7176107039981704,0.09080848381561425,0.4958589862296299,0.6374878701151161,0.7347477907672637,0.794218681336945,0.8593292737038527,100.0,0.7896982248829477,0.07602780932201038,0.532258064516129,0.7427073090789905,0.8,0.8479377958079783,0.9010989010989012
MLPClassifier,100.0,0.9182735397537429,0.027990846060293104,0.8435466653111021,0.9034423110188547,0.9146903649887564,0.9362799918666124,0.978113648157758,100.0,0.8809494676103108,0.043287760501095854,0.7295152172061627,0.8562565301863584,0.8835563156532944,0.9108364337427244,0.9551082648921714,100.0,0.8750480327776136,0.03402130760486098,0.7951807228915663,0.8532153956490557,0.875,0.8994320286455117,0.9473684210526316
RRC,100.0,0.9153350335706238,0.02752219445813554,0.8173196678775299,0.9028223098171719,0.9151416564999322,0.9337820013838437,0.9752667145440544,100.0,0.7617173291446073,0.0751515424763168,0.5929650084662781,0.7074078903895892,0.7681759830631578,0.815371229249683,0.9063450476386382,100.0,0.8026836470684979,0.045308853848227325,0.693069306930693,0.7732579861759761,0.8041237113402062,0.8320957095709571,0.9263157894736842
RUSBoostClassifier,100.0,0.9215998439491557,0.024948170636282276,0.8467938013203776,0.9082425177160757,0.922711637522028,0.940710949662688,0.9744533757884628,100.0,0.8536847760885865,0.05638350468054462,0.6036397465531508,0.8236424678651996,0.8682646855067104,0.8906390866127325,0.9468277588309983,100.0,0.6901558420549696,0.05670364351753437,0.543046357615894,0.6511627906976745,0.691906936911219,0.7342193993570141,0.819047619047619
RandomForestClassifier,100.0,0.91609448927996,0.02768473428117201,0.839409271752292,0.9036453150822424,0.9160566625999728,0.9352555786196161,0.9773000614330336,100.0,0.8584218168550828,0.04731055411183279,0.6982095361374473,0.8354540445008586,0.8644647150982987,0.8941879503704424,0.946516133129785,100.0,0.8690775376965904,0.038490883387479316,0.75,0.8541081460674157,0.8764044943820225,0.8888888888888888,0.946236559139785
StackingClassifier,100.0,0.9355491921605313,0.023133600970677366,0.8494371522760507,0.9223749472098338,0.9338399755998374,0.9533805280145676,0.9850934094447328,100.0,0.8867745576854386,0.03767564965511437,0.7549474239049802,0.8652124065558515,0.8888625371545693,0.9128929788046245,0.9522543081762548,100.0,0.7716107951687445,0.04191225677927416,0.6363636363636364,0.75,0.7721035261420879,0.7958033197619793,0.8723404255319149
VotingClassifier,100.0,0.9234298449510564,0.02530677253358669,0.8500475696246323,0.9056399959333061,0.9251252455158212,0.9389121215595339,0.9777067308108296,100.0,0.881604540865834,0.03957445085800804,0.739695456415742,0.8599219671289943,0.8845706963863624,0.9123816873762891,0.9488653906891514,100.0,0.8849719093494001,0.03478878788160775,0.7764705882352941,0.8636363636363636,0.8842105263157894,0.9095959595959597,0.9565217391304348
XGBClassifier,100.0,0.9230722660532577,0.026428269914117924,0.8504540736896731,0.9059958316388775,0.9250237021559387,0.9369408296055307,0.9775033961219316,100.0,0.8919107284212991,0.03653289932904609,0.7691285904888108,0.8674540451851402,0.8949283357052489,0.9149946608402548,0.9529989221756549,100.0,0.8826046944649181,0.034404855326827716,0.7816091954022989,0.8635167464114832,0.8820366856419988,0.9090909090909092,0.946236559139785
