model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
RUSBoostClassifier (RandomUnderSampler),100.0,0.9215998439491557,0.024948170636282276,0.8467938013203776,0.9082425177160757,0.922711637522028,0.940710949662688,0.9744533757884628
RUSBoostClassifier (Standard),100.0,0.9202688991828907,0.025649977106823672,0.8472004706981735,0.9089993080781872,0.9213644629913632,0.9370992792434218,0.975471371734994
RandomForestClassifier (ClusterCentroids),100.0,0.9162300307731452,0.02749019124333504,0.839409271752292,0.9036455630513752,0.9159549952555239,0.9357635847163503,0.9775033961219316
RandomForestClassifier (RandomUnderSampler),100.0,0.9160944892799602,0.027684734281172012,0.839409271752292,0.9036453150822424,0.9160566625999728,0.9352555786196161,0.9773000614330336
RandomForestClassifier (Standard),100.0,0.91609227875385,0.02766067368475636,0.8392060197197717,0.9036453150822424,0.9160566625999728,0.9351536426419399,0.9773000614330336
StackingClassifier (ClusterCentroids),100.0,0.9268602017693176,0.024545971102131154,0.8500471563427444,0.9134196058395219,0.9255959527023324,0.945588998443176,0.978113648157758
StackingClassifier (RandomUnderSampler),100.0,0.9355491921605315,0.023133600970677366,0.8494371522760507,0.9223749472098338,0.9338399755998374,0.9533805280145676,0.9850934094447328
StackingClassifier (Standard),100.0,0.9347046370148695,0.022359697123433032,0.8684770664428543,0.9214160612350804,0.9331757019056481,0.9519767422188166,0.9838738972496108
VotingClassifier (ClusterCentroids),100.0,0.9229941807535995,0.026903288973334393,0.8402222798823733,0.9052938267372137,0.9253285802047192,0.937296665311102,0.9783169001902784
VotingClassifier (RandomUnderSampler),100.0,0.9234298449510564,0.02530677253358669,0.8500475696246323,0.9056399959333061,0.9251252455158212,0.9389121215595339,0.9777067308108296
VotingClassifier (Standard),100.0,0.9230036006832764,0.025821299975828667,0.8506571604094382,0.90625,0.9253285802047192,0.9371441642944285,0.9783169001902784
XGBClassifier (ClusterCentroids),100.0,0.9216110066006216,0.027226720119897227,0.8504540736896731,0.9042553191489362,0.9248204087952294,0.937296665311102,0.978113648157758
XGBClassifier (RandomUnderSampler),100.0,0.9230722660532577,0.026428269914117924,0.8504540736896731,0.9059958316388775,0.9250237021559387,0.9369408296055307,0.9775033961219316
XGBClassifier (Standard),100.0,0.9224966340212666,0.02592605871967729,0.8504540736896731,0.9057416632777551,0.9206926214023461,0.9371441642944285,0.9783167348775232
