model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
KNORAU (RandomUnderSampler),100.0,0.5386387270400109,0.11399681862395106,0.273015873015873,0.458642786723628,0.5367238562091503,0.606569102112676,0.7884615384615384
KNORAU (Standard),100.0,0.5438170711868413,0.1276360624367514,0.2779661016949152,0.44247038917089676,0.5466732204298673,0.6085406301824212,0.9166666666666666
KNeighborsClassifier (ClusterCentroids),100.0,0.8879316848810243,0.03249547862344755,0.7901234567901234,0.8735632183908046,0.8888888888888888,0.907505285412262,0.9574468085106383
KNeighborsClassifier (RandomUnderSampler),100.0,0.8867188522879295,0.0334087282522912,0.7906976744186046,0.8635167464114832,0.896551724137931,0.9111111111111112,0.9574468085106383
KNeighborsClassifier (Standard),100.0,0.8925667709336957,0.03435092276497411,0.7901234567901234,0.8735632183908046,0.8953346855983773,0.9160552702372218,0.9565217391304348
Logarithmic (ClusterCentroids),100.0,0.8432742932283805,0.041932579168166915,0.7529411764705882,0.8206087507926443,0.8444444444444444,0.8739224137931034,0.946236559139785
Logarithmic (RandomUnderSampler),100.0,0.8335503772193388,0.04147367898825798,0.7070707070707071,0.8113207547169812,0.8342490842490843,0.8631578947368421,0.9263157894736842
Logarithmic (Standard),100.0,0.8346439896685908,0.0409902290705708,0.7191011235955056,0.8122051886792453,0.8373355040021706,0.8661512027491409,0.9263157894736842
LogitBoostClassifier (ClusterCentroids),100.0,0.8816629063916587,0.03925628435866468,0.7631578947368421,0.8604651162790697,0.8837209302325582,0.9090909090909092,0.9565217391304348
LogitBoostClassifier (RandomUnderSampler),100.0,0.8829023405284342,0.03860206816480415,0.775,0.8666666666666667,0.8876262626262625,0.9090909090909092,0.945054945054945
LogitBoostClassifier (Standard),100.0,0.834668366026926,0.05003214699328863,0.7027027027027027,0.8048780487804879,0.8352713178294574,0.8720423000660938,0.9333333333333332
METADES (ClusterCentroids),100.0,0.5334039889060189,0.15762033013211568,0.2144772117962466,0.4069923642533937,0.5274436090225564,0.6567342533343613,0.8484848484848485
METADES (RandomUnderSampler),100.0,0.5373532285239381,0.13262663416576534,0.2317880794701986,0.44128545872731917,0.5332523199292973,0.6165726817042606,0.8333333333333334
METADES (Standard),100.0,0.5451441550687564,0.12638168336120348,0.2276422764227642,0.466170524261015,0.5443490368995128,0.6119034924020261,0.865979381443299
MLA (ClusterCentroids),100.0,0.8024915890628133,0.07999014467316524,0.45,0.7654320987654321,0.816765415843757,0.8604651162790697,0.9230769230769232
MLA (RandomUnderSampler),100.0,0.7896982248829475,0.07602780932201038,0.532258064516129,0.7427073090789905,0.8,0.8479377958079783,0.9010989010989012
MLA (Standard),100.0,0.7838626115678808,0.086674790729761,0.5185185185185185,0.752016129032258,0.8021739130434783,0.8366008991008991,0.9361702127659576
MLPClassifier (ClusterCentroids),100.0,0.8835181600555819,0.037845334799279644,0.7764705882352941,0.8628435517970402,0.8863636363636364,0.9069767441860463,0.967741935483871
MLPClassifier (RandomUnderSampler),100.0,0.8750480327776137,0.03402130760486098,0.7951807228915663,0.8532153956490557,0.875,0.8994320286455117,0.9473684210526316
MLPClassifier (Standard),100.0,0.890454343392274,0.03540531259361112,0.7901234567901234,0.8705882352941177,0.896551724137931,0.9130434782608696,0.9574468085106383
RRC (ClusterCentroids),100.0,0.8229176403603538,0.04930522239328087,0.7207207207207207,0.7913071123626124,0.8200501253132833,0.8578571428571429,0.946236559139785
RRC (RandomUnderSampler),100.0,0.8026836470684978,0.045308853848227325,0.693069306930693,0.7732579861759761,0.8041237113402062,0.8320957095709571,0.9263157894736842
RRC (Standard),100.0,0.8077489989241968,0.043550485567350854,0.7128712871287128,0.78,0.8113207547169812,0.8295454545454546,0.9263157894736842
RUSBoostClassifier (ClusterCentroids),100.0,0.7627147765970632,0.05059592338717243,0.6181818181818182,0.7365938430983118,0.7692307692307693,0.7959183673469388,0.8712871287128713
RUSBoostClassifier (RandomUnderSampler),100.0,0.6901558420549698,0.05670364351753437,0.543046357615894,0.6511627906976745,0.691906936911219,0.7342193993570141,0.819047619047619
RUSBoostClassifier (Standard),100.0,0.702035473759753,0.059164114640827936,0.5833333333333334,0.6614173228346457,0.7,0.7435835351089588,0.8461538461538461
RandomForestClassifier (ClusterCentroids),100.0,0.8803281358568914,0.036912654982793454,0.7619047619047619,0.862484700122399,0.8863636363636364,0.9016306274370791,0.9565217391304348
RandomForestClassifier (RandomUnderSampler),100.0,0.8690775376965906,0.038490883387479316,0.75,0.8541081460674157,0.8764044943820225,0.8888888888888888,0.946236559139785
RandomForestClassifier (Standard),100.0,0.8690643238978241,0.03863306026705376,0.7529411764705882,0.8500625782227784,0.8757022471910112,0.8941710992907801,0.946236559139785
StackingClassifier (ClusterCentroids),100.0,0.8671512309727402,0.03557731979172642,0.76,0.845360824742268,0.8729518219613598,0.8911429186396901,0.9473684210526316
StackingClassifier (RandomUnderSampler),100.0,0.7716107951687446,0.04191225677927416,0.6363636363636364,0.75,0.7721035261420879,0.7958033197619793,0.8723404255319149
StackingClassifier (Standard),100.0,0.7465747105491638,0.04220300055359641,0.6511627906976745,0.7192982456140351,0.7521929824561404,0.7726041472071736,0.8490566037735849
VotingClassifier (ClusterCentroids),100.0,0.8988258259979799,0.03255980308301564,0.7951807228915663,0.8825709174546383,0.9010989010989012,0.9199922510654786,0.9574468085106383
VotingClassifier (RandomUnderSampler),100.0,0.8849719093494004,0.03478878788160775,0.7764705882352941,0.8636363636363636,0.8842105263157894,0.9095959595959597,0.9565217391304348
VotingClassifier (Standard),100.0,0.8985906513254437,0.03091955028760206,0.8048780487804879,0.8837209302325582,0.9010989010989012,0.9213483146067416,0.9574468085106383
XGBClassifier (ClusterCentroids),100.0,0.8960987733989803,0.03376334168762447,0.7951807228915663,0.8764044943820225,0.898876404494382,0.9230769230769232,0.9565217391304348
XGBClassifier (RandomUnderSampler),100.0,0.8826046944649184,0.03440485532682771,0.7816091954022989,0.8635167464114832,0.8820366856419988,0.9090909090909092,0.946236559139785
XGBClassifier (Standard),100.0,0.8988636444369281,0.03202841223093063,0.7951807228915663,0.8837209302325582,0.9010989010989012,0.921780466724287,0.967032967032967
